"genes","symbol","v15.Counts","v32.Counts"
"ENSG00000028137","TNFRSF1B",4340,4199
"ENSG00000028203","VEZT",1523,1502
"ENSG00000028277","POU2F2",4643,4542
"ENSG00000028310","BRD9",1612,1592
"ENSG00000028528","SNX1",4952,4869
"ENSG00000028839","TBPL1",406,316
"ENSG00000029153","ARNTL2",665,629
"ENSG00000029363","BCLAF1",9806,9719
"ENSG00000029364","SLC39A9",2894,2853
"ENSG00000029534","ANK1",2390,2319
"ENSG00000029559","IBSP",27,27
"ENSG00000029639","TFB1M",340,318
"ENSG00000029725","RABEP1",2994,2309
"ENSG00000029993","HMGB3",325,323
"ENSG00000030066","NUP160",4047,3998
"ENSG00000030110","BAK1",656,542
"ENSG00000030304","MUSK",12,16
"ENSG00000030419","IKZF2",991,981
"ENSG00000030582","GRN",16547,16170
"ENSG00000031003","FAM13B",2864,2567
"ENSG00000031081","ARHGAP31",354,350
"ENSG00000031691","CENPQ",172,171
"ENSG00000031698","SARS1",1797,1765
"ENSG00000031823","RANBP3",2099,2043
"ENSG00000032219","ARID4A",2551,2521
"ENSG00000032389","EIPR1",611,597
"ENSG00000032444","PNPLA6",2119,1946
"ENSG00000032742","IFT88",461,446
"ENSG00000033011","ALG1",444,401
"ENSG00000033030","ZCCHC8",1459,1497
"ENSG00000033050","ABCF2",2206,612
"ENSG00000033100","CHPF2",3529,3286
"ENSG00000033122","LRRC7",132,153
"ENSG00000033170","FUT8",766,742
"ENSG00000033178","UBA6",2505,2475
"ENSG00000033327","GAB2",4889,4523
"ENSG00000033627","ATP6V0A1",2055,1983
"ENSG00000033800","PIAS1",4897,4355
"ENSG00000033867","SLC4A7",3295,3261
"ENSG00000034053","APBA2",252,249
"ENSG00000034152","MAP2K3",2872,2808
"ENSG00000034239","EFCAB1",3,3
"ENSG00000034510","TMSB10",4930,4749
"ENSG00000034533","ASTE1",394,352
"ENSG00000034677","RNF19A",3227,2917
"ENSG00000034693","PEX3",560,494
"ENSG00000034713","GABARAPL2",765,755
"ENSG00000034971","MYOC",2,2
"ENSG00000035115","SH3YL1",1414,1374
"ENSG00000035141","FAM136A",1378,1263
"ENSG00000035403","VCL",8150,7998
"ENSG00000035499","DEPDC1B",414,398
"ENSG00000035664","DAPK2",262,251
"ENSG00000035681","NSMAF",6138,6081
"ENSG00000035687","ADSS2",2371,2013
"ENSG00000035720","STAP1",262,264
"ENSG00000035862","TIMP2",6404,4660
"ENSG00000035928","RFC1",1880,1847
"ENSG00000036054","TBC1D23",1106,1097
"ENSG00000036257","CUL3",2730,2526
"ENSG00000036448","MYOM2",123,121
"ENSG00000036473","OTC",0,0
"ENSG00000036530","CYP46A1",17,17
"ENSG00000036549","ZZZ3",2872,2835
"ENSG00000036565","SLC18A1",26,24
"ENSG00000036672","USP2",22,19
"ENSG00000036828","CASR",5,5
"ENSG00000037042","TUBG2",359,355
"ENSG00000037241","RPL26L1",149,149
"ENSG00000037280","FLT4",143,138
"ENSG00000037474","NSUN2",2850,2576
"ENSG00000037637","FBXO42",2851,2809
"ENSG00000037749","MFAP3",495,490
"ENSG00000037757","MRI1",1056,614
"ENSG00000037897","METTL1",332,264
"ENSG00000037965","HOXC8",6,6
"ENSG00000038002","AGA",654,645
"ENSG00000038210","PI4K2B",309,600
"ENSG00000038219","BOD1L1",7308,7214
"ENSG00000038274","MAT2B",2026,2005
"ENSG00000038295","TLL1",11,12
"ENSG00000038358","EDC4",3562,3329
"ENSG00000038382","TRIO",6311,6002
"ENSG00000038427","VCAN",62204,58043
"ENSG00000038532","CLEC16A",3068,3049
"ENSG00000038945","MSR1",38,37
"ENSG00000039068","CDH1",215,184
"ENSG00000039123","MTREX",3117,2951
"ENSG00000039139","DNAH5",39,3
"ENSG00000039319","ZFYVE16",1424,1249
"ENSG00000039523","RIPOR1",3078,2030
"ENSG00000039537","C6",3,3
"ENSG00000039560","RAI14",556,547
"ENSG00000039600","SOX30",12,12
"ENSG00000039650","PNKP",1028,1056
"ENSG00000039987","BEST2",11,10
"ENSG00000040199","PHLPP2",661,620
"ENSG00000040275","SPDL1",499,493
"ENSG00000040341","STAU2",2331,2073
"ENSG00000040487","SLC66A1",646,629
"ENSG00000040531","CTNS",627,621
"ENSG00000040608","RTN4R",529,511
"ENSG00000040633","PHF23",611,600
"ENSG00000040731","CDH10",11,11
"ENSG00000040933","INPP4A",3918,3855
"ENSG00000041353","RAB27B",446,400
"ENSG00000041357","PSMA4",2274,2249
"ENSG00000041515","MYO16",13,13
"ENSG00000041802","LSG1",2787,2605
"ENSG00000041880","PARP3",280,270
"ENSG00000041982","TNC",9100,8534
"ENSG00000041988","THAP3",188,182
"ENSG00000042062","RIPOR3",1358,1320
"ENSG00000042088","TDP1",982,962
"ENSG00000042286","AIFM2",170,143
"ENSG00000042304","C2orf83",1,4
"ENSG00000042317","SPATA7",199,192
"ENSG00000042429","MED17",1321,568
"ENSG00000042445","RETSAT",875,816
"ENSG00000042493","CAPG",1029,1013
"ENSG00000042753","AP2S1",634,627
"ENSG00000042781","USH2A",9,9
"ENSG00000042813","ZPBP",0,0
"ENSG00000042832","TG",52,52
"ENSG00000042980","ADAM28",14138,13955
"ENSG00000043039","BARX2",1,1
"ENSG00000043093","DCUN1D1",1549,1533
"ENSG00000043143","JADE2",3845,3781
"ENSG00000043355","ZIC2",0,0
"ENSG00000043462","LCP2",5696,5223
"ENSG00000043514","TRIT1",601,654
"ENSG00000043591","ADRB1",61,57
"ENSG00000044012","GUCA2B",0,0
"ENSG00000044090","CUL7",1797,1250
"ENSG00000044115","CTNNA1",4124,4079
"ENSG00000044446","PHKA2",3698,3087
"ENSG00000044459","CNTLN",1125,1105
"ENSG00000044524","EPHA3",25,25
"ENSG00000044574","HSPA5",14991,14850
"ENSG00000046604","DSG2",328,303
"ENSG00000046647","GEMIN8",509,504
"ENSG00000046651","OFD1",1794,1775
"ENSG00000046653","GPM6B",508,509
"ENSG00000046774","MAGEC2",0,0
"ENSG00000046889","PREX2",126,125
"ENSG00000047056","WDR37",1679,1744
"ENSG00000047188","YTHDC2",2147,2126
"ENSG00000047230","CTPS2",1136,1119
"ENSG00000047249","ATP6V1H",1207,1199
"ENSG00000047315","POLR2B",4238,4034
"ENSG00000047346","FAM214A",1845,1656
"ENSG00000047365","ARAP2",2767,2681
"ENSG00000047410","TPR",7916,7607
"ENSG00000047457","CP",1962,1830
"ENSG00000047578","KATNIP",1244,1161
"ENSG00000047579","DTNBP1",590,583
"ENSG00000047597","XK",466,457
"ENSG00000047617","ANO2",85,85
"ENSG00000047621","C12orf4",558,551
"ENSG00000047634","SCML1",220,215
"ENSG00000047644","WWC3",1729,1715
"ENSG00000047648","ARHGAP6",69,70
"ENSG00000047662","FAM184B",139,138
"ENSG00000047849","MAP4",5898,5792
"ENSG00000047932","GOPC",1911,1435
"ENSG00000047936","ROS1",0,0
"ENSG00000048028","USP28",1255,1238
"ENSG00000048052","HDAC9",1193,1184
"ENSG00000048140","TSPAN17",688,680
"ENSG00000048162","NOP16",880,721
"ENSG00000048342","CC2D2A",132,189
"ENSG00000048392","RRM2B",1076,1059
"ENSG00000048405","ZNF800",2212,2178
"ENSG00000048462","TNFRSF17",84,82
"ENSG00000048471","SNX29",1810,1778
"ENSG00000048540","LMO3",99,97
"ENSG00000048544","MRPS10",912,906
"ENSG00000048545","GUCA1A",3,6
"ENSG00000048649","RSF1",3150,3096
"ENSG00000048707","VPS13D",6284,6238
"ENSG00000048740","CELF2",14048,14083
"ENSG00000048828","FAM120A",7931,7213
"ENSG00000048991","R3HDM1",2548,2506
"ENSG00000049089","COL9A2",102,100
"ENSG00000049130","KITLG",353,347
"ENSG00000049167","ERCC8",530,939
"ENSG00000049192","ADAMTS6",154,150
"ENSG00000049239","H6PD",5182,5063
"ENSG00000049245","VAMP3",1504,1491
"ENSG00000049246","PER3",589,514
"ENSG00000049247","UTS2",1,1
"ENSG00000049249","TNFRSF9",40,40
"ENSG00000049283","EPN3",3,2
"ENSG00000049323","LTBP1",325,304
"ENSG00000049449","RCN1",2045,821
"ENSG00000049540","ELN",6,7
"ENSG00000049541","RFC2",868,859
"ENSG00000049618","ARID1B",13025,17123
"ENSG00000049656","CLPTM1L",2417,2377
"ENSG00000049759","NEDD4L",557,624
"ENSG00000049768","FOXP3",73,70
