"genes","symbol","v15.Counts","v32.Counts","relative_change_v15tov32","relative_change_v32tov15","absolute_change"
"ENSG00000034152","MAP2K3",2741,2678,0.0229843122947829,0.0235250186706497,63
"ENSG00000034239","EFCAB1",2,2,NA,NA,0
"ENSG00000034510","TMSB10",11318,10780,0.0475349001590387,0.0499072356215213,538
"ENSG00000034533","ASTE1",399,346,0.132832080200501,0.153179190751445,53
"ENSG00000034677","RNF19A",1792,1618,0.0970982142857143,0.107540173053152,174
"ENSG00000034693","PEX3",341,309,0.093841642228739,0.103559870550162,32
"ENSG00000034713","GABARAPL2",1255,1219,0.0286852589641434,0.029532403609516,36
"ENSG00000034971","MYOC",0,0,NA,NA,0
"ENSG00000035115","SH3YL1",922,896,0.0281995661605206,0.0290178571428571,26
"ENSG00000035141","FAM136A",1119,1035,0.0750670241286863,0.0811594202898551,84
"ENSG00000035403","VCL",6528,6332,0.0300245098039216,0.030953885028427,196
"ENSG00000035499","DEPDC1B",887,852,0.0394588500563698,0.0410798122065728,35
"ENSG00000035664","DAPK2",134,127,0.0522388059701493,0.0551181102362205,7
"ENSG00000035681","NSMAF",3387,3326,0.018010038382049,0.018340348767288,61
"ENSG00000035687","ADSS2",3680,2905,0.210597826086957,0.266781411359725,775
"ENSG00000035720","STAP1",192,203,0.0572916666666667,0.0541871921182266,11
"ENSG00000035862","TIMP2",9576,7327,0.234857978279031,0.306946908693872,2249
"ENSG00000035928","RFC1",3023,2949,0.0244789943764472,0.0250932519498135,74
"ENSG00000036054","TBC1D23",1793,1745,0.0267707752370329,0.0275071633237822,48
"ENSG00000036257","CUL3",3838,3396,0.115164147993747,0.130153121319199,442
"ENSG00000036448","MYOM2",72,70,0.0277777777777778,0.0285714285714286,2
"ENSG00000036473","OTC",0,0,NA,NA,0
"ENSG00000036530","CYP46A1",22,22,0,0,0
"ENSG00000036549","ZZZ3",2956,2885,0.0240189445196211,0.0246100519930676,71
"ENSG00000036565","SLC18A1",13,12,0.0769230769230769,0.0833333333333333,1
"ENSG00000036672","USP2",13,13,0,0,0
"ENSG00000036828","CASR",1,1,NA,NA,0
"ENSG00000037042","TUBG2",121,118,0.0247933884297521,0.0254237288135593,3
"ENSG00000037241","RPL26L1",154,153,0.00649350649350649,0.0065359477124183,1
"ENSG00000037280","FLT4",582,567,0.0257731958762887,0.0264550264550265,15
"ENSG00000037474","NSUN2",3204,2901,0.0945692883895131,0.104446742502585,303
"ENSG00000037637","FBXO42",3080,3027,0.0172077922077922,0.0175090849025438,53
"ENSG00000037749","MFAP3",675,672,0.00444444444444444,0.00446428571428571,3
"ENSG00000037757","MRI1",1086,485,0.553406998158379,1.23917525773196,601
"ENSG00000037897","METTL1",187,144,0.229946524064171,0.298611111111111,43
"ENSG00000037965","HOXC8",0,0,NA,NA,0
"ENSG00000038002","AGA",800,779,0.02625,0.0269576379974326,21
"ENSG00000038210","PI4K2B",893,1394,0.561030235162374,0.359397417503587,501
"ENSG00000038219","BOD1L1",8932,8774,0.0176892073443798,0.0180077501709597,158
"ENSG00000038274","MAT2B",3920,3813,0.0272959183673469,0.028061893522161,107
"ENSG00000038295","TLL1",0,0,NA,NA,0
"ENSG00000038358","EDC4",2408,2206,0.0838870431893688,0.0915684496826836,202
"ENSG00000038382","TRIO",7671,7345,0.0424977186807457,0.0443839346494214,326
"ENSG00000038427","VCAN",121355,108097,0.109249721890322,0.122649102195251,13258
"ENSG00000038532","CLEC16A",2539,2500,0.0153603781016148,0.0156,39
"ENSG00000038945","MSR1",408,404,0.00980392156862745,0.0099009900990099,4
"ENSG00000039068","CDH1",14,14,0,0,0
"ENSG00000039123","MTREX",3432,3168,0.0769230769230769,0.0833333333333333,264
"ENSG00000039139","DNAH5",2,2,NA,NA,0
"ENSG00000039319","ZFYVE16",2817,2405,0.146254881079162,0.171309771309771,412
"ENSG00000039523","RIPOR1",2904,1885,0.350895316804408,0.540583554376658,1019
"ENSG00000039537","C6",0,0,NA,NA,0
"ENSG00000039560","RAI14",39,37,0.0512820512820513,0.0540540540540541,2
"ENSG00000039600","SOX30",1,1,NA,NA,0
"ENSG00000039650","PNKP",1165,1144,0.0180257510729614,0.0183566433566434,21
"ENSG00000039987","BEST2",13,12,0.0769230769230769,0.0833333333333333,1
"ENSG00000040199","PHLPP2",531,496,0.0659133709981168,0.0705645161290323,35
"ENSG00000040275","SPDL1",986,969,0.0172413793103448,0.0175438596491228,17
"ENSG00000040341","STAU2",2050,1831,0.106829268292683,0.119606772255598,219
"ENSG00000040487","SLC66A1",696,680,0.0229885057471264,0.0235294117647059,16
"ENSG00000040531","CTNS",594,621,0.0454545454545455,0.0434782608695652,27
"ENSG00000040608","RTN4R",167,161,0.0359281437125748,0.0372670807453416,6
"ENSG00000040633","PHF23",992,957,0.0352822580645161,0.0365726227795193,35
"ENSG00000040731","CDH10",0,0,NA,NA,0
"ENSG00000040933","INPP4A",3970,3873,0.0244332493702771,0.0250451846114123,97
"ENSG00000041353","RAB27B",467,432,0.0749464668094218,0.0810185185185185,35
"ENSG00000041357","PSMA4",3789,3695,0.0248086566376353,0.0254397834912043,94
"ENSG00000041515","MYO16",14,13,0.0714285714285714,0.0769230769230769,1
"ENSG00000041802","LSG1",1639,1496,0.087248322147651,0.0955882352941176,143
"ENSG00000041880","PARP3",176,173,0.0170454545454545,0.0173410404624277,3
"ENSG00000041982","TNC",243,234,0.037037037037037,0.0384615384615385,9
"ENSG00000041988","THAP3",182,175,0.0384615384615385,0.04,7
"ENSG00000042062","RIPOR3",395,388,0.0177215189873418,0.0180412371134021,7
"ENSG00000042088","TDP1",1287,1254,0.0256410256410256,0.0263157894736842,33
"ENSG00000042286","AIFM2",53,50,0.0566037735849057,0.06,3
"ENSG00000042304","C2orf83",0,0,NA,NA,0
"ENSG00000042317","SPATA7",245,243,0.00816326530612245,0.00823045267489712,2
"ENSG00000042429","MED17",1479,570,0.614604462474645,1.59473684210526,909
"ENSG00000042445","RETSAT",956,899,0.0596234309623431,0.0634037819799778,57
"ENSG00000042493","CAPG",1236,1200,0.029126213592233,0.03,36
"ENSG00000042753","AP2S1",868,855,0.0149769585253456,0.0152046783625731,13
"ENSG00000042781","USH2A",16,17,0.0625,0.0588235294117647,1
"ENSG00000042813","ZPBP",1,0,NA,NA,1
"ENSG00000042832","TG",89,89,0,0,0
"ENSG00000042980","ADAM28",1603,1565,0.0237055520898316,0.0242811501597444,38
"ENSG00000043039","BARX2",0,0,NA,NA,0
"ENSG00000043093","DCUN1D1",1940,1898,0.0216494845360825,0.0221285563751317,42
"ENSG00000043143","JADE2",2631,2583,0.0182440136830103,0.0185830429732869,48
"ENSG00000043355","ZIC2",0,0,NA,NA,0
"ENSG00000043462","LCP2",6663,5985,0.10175596578118,0.11328320802005,678
"ENSG00000043514","TRIT1",751,842,0.121171770972037,0.108076009501188,91
"ENSG00000043591","ADRB1",207,195,0.0579710144927536,0.0615384615384615,12
"ENSG00000044012","GUCA2B",0,0,NA,NA,0
"ENSG00000044090","CUL7",1194,836,0.299832495812395,0.42822966507177,358
"ENSG00000044115","CTNNA1",5689,5591,0.0172262260502725,0.0175281702736541,98
"ENSG00000044446","PHKA2",2702,2201,0.185418208734271,0.227623807360291,501
"ENSG00000044459","CNTLN",1214,1190,0.0197693574958814,0.0201680672268908,24
"ENSG00000044524","EPHA3",3,3,NA,NA,0
"ENSG00000044574","HSPA5",15641,15396,0.0156639601048526,0.0159132242140816,245
"ENSG00000046604","DSG2",7,4,NA,NA,3
"ENSG00000046647","GEMIN8",314,313,0.00318471337579618,0.00319488817891374,1
"ENSG00000046651","OFD1",1634,1614,0.0122399020807834,0.0123915737298637,20
"ENSG00000046653","GPM6B",254,251,0.0118110236220472,0.0119521912350598,3
"ENSG00000046774","MAGEC2",1,1,NA,NA,0
"ENSG00000046889","PREX2",7,7,NA,NA,0
"ENSG00000047056","WDR37",1745,1783,0.0217765042979943,0.021312394840157,38
"ENSG00000047188","YTHDC2",2910,2839,0.0243986254295533,0.0250088059175766,71
"ENSG00000047230","CTPS2",827,809,0.0217654171704958,0.0222496909765142,18
"ENSG00000047249","ATP6V1H",1027,1003,0.0233690360272639,0.0239282153539382,24
"ENSG00000047315","POLR2B",4925,4596,0.0668020304568528,0.0715839860748477,329
"ENSG00000047346","FAM214A",1561,1391,0.108904548366432,0.122214234363767,170
"ENSG00000047365","ARAP2",2099,2038,0.0290614578370653,0.0299313052011776,61
"ENSG00000047410","TPR",9085,8616,0.0516235553109521,0.0544336118848654,469
"ENSG00000047457","CP",263,234,0.110266159695817,0.123931623931624,29
"ENSG00000047578","KATNIP",1589,1467,0.0767778477029578,0.0831629175187457,122
"ENSG00000047579","DTNBP1",704,693,0.015625,0.0158730158730159,11
"ENSG00000047597","XK",21,21,0,0,0
"ENSG00000047617","ANO2",0,0,NA,NA,0
"ENSG00000047621","C12orf4",1143,1128,0.0131233595800525,0.0132978723404255,15
