"padj","gene","symbol","rank","rank_change"
1.68853238670353e-12,"ENSG00000127084","FGD3",277,-151
1.81907417888482e-12,"ENSG00000109061","MYH1",278,-197
1.83330198044548e-12,"ENSG00000224083","MTCO1P11",279,3
2.02598891732409e-12,"ENSG00000103154","NECAB2",280,-183
2.20412652177248e-12,"ENSG00000268362","AC092279.1",281,72
2.24868180347584e-12,"ENSG00000196091","MYBPC1",282,-240
2.25133917858361e-12,"ENSG00000161265","U2AF1L4",283,6720
2.25133917858361e-12,"ENSG00000250903","GMDS-DT",284,115
2.25133917858361e-12,"ENSG00000253797","UTP14C",285,NA
2.48079725037494e-12,"ENSG00000124766","SOX4",286,-159
2.5559149450687e-12,"ENSG00000269858","EGLN2",287,7911
2.65177938431693e-12,"ENSG00000119969","HELLS",288,-148
2.78841269639564e-12,"ENSG00000013306","SLC25A39",289,-146
2.90976435564859e-12,"ENSG00000034152","MAP2K3",290,-165
3.01710020462798e-12,"ENSG00000258366","RTEL1",291,11250
3.20224513569623e-12,"ENSG00000241370","RPP21",292,13751
3.46958240721372e-12,"ENSG00000114854","TNNC1",293,-254
3.5044747295112e-12,"ENSG00000259807","AC009093.1",294,353
3.60171998334040e-12,"ENSG00000172216","CEBPB",295,-126
3.71295922969916e-12,"ENSG00000213658","LAT",296,12817
3.78400630865234e-12,"ENSG00000111642","CHD4",297,16601
3.78400630865234e-12,"ENSG00000178295","GEN1",298,-177
3.85563693307551e-12,"ENSG00000130165","ELOF1",299,-179
4.0722709823117e-12,"ENSG00000167397","VKORC1",300,13172
4.12514579655516e-12,"ENSG00000173641","HSPB7",301,-218
4.19919459864723e-12,"ENSG00000100985","MMP9",302,-115
4.19919459864723e-12,"ENSG00000170525","PFKFB3",303,-158
4.36787293773262e-12,"ENSG00000137331","IER3",304,271
4.36845482655708e-12,"ENSG00000070669","ASNS",305,13229
4.43636397639487e-12,"ENSG00000197753","LHFPL5",306,16377
4.44904719252357e-12,"ENSG00000172270","BSG",307,-172
4.49523421525317e-12,"ENSG00000068971","PPP2R5B",308,-202
4.62071251943694e-12,"ENSG00000185559","DLK1",309,-259
