"padj","gene","symbol","rank","rank_change"
7.02620632901443e-11,"ENSG00000235257","ITGA9-AS1",198,551
7.34186881608591e-11,"ENSG00000274422","AC245060.5",199,416
7.77617627720697e-11,"ENSG00000077984","CST7",200,175
8.8644656229757e-11,"ENSG00000171552","BCL2L1",201,139
9.07479837411625e-11,"ENSG00000184445","KNTC1",202,174
9.32079573351027e-11,"ENSG00000146414","SHPRH",203,250
9.32079573351027e-11,"ENSG00000213275","IFITM9P",204,3371
1.01438499945315e-10,"ENSG00000166004","CEP295",205,201
1.06976355844517e-10,"ENSG00000112303","VNN2",206,124
1.11372497003023e-10,"ENSG00000162545","CAMK2N1",207,346
1.12913480177786e-10,"ENSG00000148344","PTGES",208,165
1.17475457404726e-10,"ENSG00000110047","EHD1",209,243
1.23613532556668e-10,"ENSG00000146263","MMS22L",210,149
1.28952893695766e-10,"ENSG00000139112","GABARAPL1",211,175
1.30333787137456e-10,"ENSG00000158022","TRIM63",212,827
1.34194931869508e-10,"ENSG00000100284","TOM1",213,294
1.34947888463958e-10,"ENSG00000157657","ZNF618",214,186
1.35195245619753e-10,"ENSG00000260852","FBXL19-AS1",215,28
1.37612550765604e-10,"ENSG00000242094","FOXP1-IT1",216,33
1.3926672271335e-10,"ENSG00000244734","HBB",217,138
1.45790221553359e-10,"ENSG00000160570","DEDD2",218,114
1.60172114085417e-10,"ENSG00000260592","AC130456.3",219,-98
1.75016576313515e-10,"ENSG00000105287","PRKD2",220,243
2.00962430606162e-10,"ENSG00000250802","ZBED3-AS1",221,120
2.06538605777263e-10,"ENSG00000144407","PTH2R",222,170
2.07502492632504e-10,"ENSG00000269981","AL627309.7",223,650
2.19216259462235e-10,"ENSG00000109472","CPE",224,646
2.19267494632625e-10,"ENSG00000118495","PLAGL1",225,337
2.35531964966425e-10,"ENSG00000117984","CTSD",226,-151
2.52579452950015e-10,"ENSG00000164047","CAMP",227,207
2.61392756569653e-10,"ENSG00000105374","NKG7",228,194
2.63558507294435e-10,"ENSG00000147454","SLC25A37",229,277
2.80772160827928e-10,"ENSG00000172354","GNB2",230,208
2.80772160827928e-10,"ENSG00000178814","OPLAH",231,291
2.80772160827928e-10,"ENSG00000257335","MGAM",232,191
2.86483695243013e-10,"ENSG00000221983","UBA52",233,223
2.88066177106002e-10,"ENSG00000120306","CYSTM1",234,212
2.88066177106002e-10,"ENSG00000145901","TNIP1",235,261
3.23684028596263e-10,"ENSG00000223722","IFITM3P2",236,1968
3.31251699727603e-10,"ENSG00000171051","FPR1",237,170
3.35461543327517e-10,"ENSG00000116991","SIPA1L2",238,296
3.49021355259426e-10,"ENSG00000172469","MANEA",239,235
3.52931497754052e-10,"ENSG00000136824","SMC2",240,187
3.64265070724888e-10,"ENSG00000267041","ZNF850",241,403
3.85846252660749e-10,"ENSG00000225720","AL031846.1",242,1437
4.01780527204316e-10,"ENSG00000169583","CLIC3",243,229
4.04069022200818e-10,"ENSG00000125498","KIR2DL1",244,112
4.07764895544674e-10,"ENSG00000100100","PIK3IP1",245,254
4.40206439800202e-10,"ENSG00000127914","AKAP9",246,247
4.66086363917608e-10,"ENSG00000171877","FRMD5",247,188
4.67136975493082e-10,"ENSG00000117298","ECE1",248,222
4.67756389073592e-10,"ENSG00000136982","DSCC1",249,121
4.78245548789854e-10,"ENSG00000168899","VAMP5",250,130
4.83859832034774e-10,"ENSG00000164512","ANKRD55",251,84
4.8797643115214e-10,"ENSG00000152455","SUV39H2",252,838
4.96510902791323e-10,"ENSG00000107223","EDF1",253,332
5.04421376355173e-10,"ENSG00000167083","GNGT2",254,98
5.52160493826865e-10,"ENSG00000170290","SLN",255,305
5.5938012080152e-10,"ENSG00000109107","ALDOC",256,163
5.5938012080152e-10,"ENSG00000271270","TMCC1-AS1",257,180
5.61602212810756e-10,"ENSG00000188536","HBA2",258,157
5.71049599039968e-10,"ENSG00000181722","ZBTB20",259,52
6.14729323294752e-10,"ENSG00000126934","MAP2K2",260,561
6.78005334079529e-10,"ENSG00000203999","LINC01270",261,335
6.78005334079529e-10,"ENSG00000204767","INSYN2B",262,1463
6.87032228125841e-10,"ENSG00000162390","ACOT11",263,389
6.92382211666594e-10,"ENSG00000140264","SERF2",264,-27
7.00748865016043e-10,"ENSG00000277443","MARCKS",265,163
7.41326730620461e-10,"ENSG00000122779","TRIM24",266,290
7.84857312871668e-10,"ENSG00000101335","MYL9",267,749
8.30464685477998e-10,"ENSG00000008056","SYN1",268,146
8.35792453911681e-10,"ENSG00000111247","RAD51AP1",269,279
8.35792453911681e-10,"ENSG00000265713","AC023389.2",270,54
8.7380456193487e-10,"ENSG00000178502","KLHL11",271,-104
8.98714102860746e-10,"ENSG00000116871","MAP7D1",272,255
9.60348762139183e-10,"ENSG00000198482","ZNF808",273,705
1.04230950788443e-09,"ENSG00000107890","ANKRD26",274,904
1.05235182458013e-09,"ENSG00000102010","BMX",275,234
1.06175378044862e-09,"ENSG00000133739","LRRCC1",276,250
1.09788427062817e-09,"ENSG00000153395","LPCAT1",277,274
1.16239452452695e-09,"ENSG00000272219","AC005072.1",278,133
1.23729220534816e-09,"ENSG00000102871","TRADD",279,314
1.29657383576717e-09,"ENSG00000175455","CCDC14",280,401
1.3271685544624e-09,"ENSG00000146281","PM20D2",281,269
1.33147154458384e-09,"ENSG00000224083","MTCO1P11",282,-3
1.41976679673013e-09,"ENSG00000189430","NCR1",283,1091
1.41981970117088e-09,"ENSG00000088882","CPXM1",284,600
1.53871092883909e-09,"ENSG00000158856","DMTN",285,231
1.58559682458347e-09,"ENSG00000110628","SLC22A18",286,408
1.64839005222373e-09,"ENSG00000134815","DHX34",287,470
1.87281876348425e-09,"ENSG00000128383","APOBEC3A",288,247
1.87281876348425e-09,"ENSG00000132436","FIGNL1",289,286
1.94024616558313e-09,"ENSG00000091127","PUS7",290,78
2.00505901292325e-09,"ENSG00000012048","BRCA1",291,446
2.11866015425956e-09,"ENSG00000134369","NAV1",292,199
2.16955037824225e-09,"ENSG00000112576","CCND3",293,245
2.18581881274502e-09,"ENSG00000129682","FGF13",294,NA
2.2433383858149e-09,"ENSG00000008517","IL32",295,223
2.68584409214097e-09,"ENSG00000286742","AC000065.1",296,NA
2.70451894969311e-09,"ENSG00000103067","ESRP2",297,2013
2.70451894969311e-09,"ENSG00000123329","ARHGAP9",298,368
2.73846160921662e-09,"ENSG00000015285","WAS",299,318
2.7503651868336e-09,"ENSG00000134686","PHC2",300,197
2.90143939298785e-09,"ENSG00000232729","AC211433.1",301,-34
2.98630272751933e-09,"ENSG00000063854","HAGH",302,381
2.98814628452815e-09,"ENSG00000182541","LIMK2",303,420
3.1850760074622e-09,"ENSG00000110876","SELPLG",304,226
3.1850760074622e-09,"ENSG00000125735","TNFSF14",305,284
3.29130035032042e-09,"ENSG00000122483","CCDC18",306,345
3.30007276781744e-09,"ENSG00000175084","DES",307,305
3.30007276781744e-09,"ENSG00000197616","MYH6",308,1011
3.33901010878142e-09,"ENSG00000182782","HCAR2",309,240
3.37330572939089e-09,"ENSG00000064932","SBNO2",310,337
3.37343475877106e-09,"ENSG00000163395","IGFN1",311,951
3.49504244142062e-09,"ENSG00000125247","TMTC4",312,251
3.56103012863647e-09,"ENSG00000115165","CYTIP",313,229
3.71782883355049e-09,"ENSG00000187790","FANCM",314,408
3.8084931557291e-09,"ENSG00000162522","KIAA1522",315,142
3.8084931557291e-09,"ENSG00000278897","AC020951.1",316,85
3.93120601665554e-09,"ENSG00000184566","AC132216.1",317,76
4.49335320878685e-09,"ENSG00000156162","DPY19L4",318,455
4.62840526224147e-09,"ENSG00000138780","GSTCD",319,102
4.63607504716469e-09,"ENSG00000146112","PPP1R18",320,219
4.74225117885797e-09,"ENSG00000160211","G6PD",321,300
4.74225117885797e-09,"ENSG00000197776","KLHDC1",322,1767
